day,venue,race,name,pop,chaku,reason
2026-08-01,新潟,11,カタカムナ,12,13,W0に追切なし
2026-08-01,新潟,12,アスクザアメリカン,13,14,W0に追切なし
2026-08-01,新潟,12,クリノゴッホ,14,10,W0に追切なし
2026-08-01,新潟,12,ラブソング,15,12,W0に追切なし
2026-08-01,新潟,12,シルフィー,10,11,W0に追切なし
2026-08-01,新潟,12,ステキサプライズ,12,5,W0に追切なし
2026-08-02,中京,3,トゥーレジット,2,2,W0に追切なし
2026-08-02,中京,12,アルジェンテーラ,4,10,W0に追切なし
2026-08-02,中京,12,カフラー,14,17,W0に追切なし
2026-08-02,中京,12,ミッキーラヴィータ,2,3,W0に追切なし
2026-08-02,中京,12,マルモリキャスター,11,13,W0に追切なし
2026-08-02,新潟,12,ベルバード,11,6,W0に追切なし
2026-08-02,新潟,12,ニシノタチアナ,7,12,W0に追切なし
2026-08-02,札幌,6,ステイアンビシャス,10,2,W0に追切なし
2026-08-02,札幌,6,アスクガンバーレ,5,3,W0に追切なし
2026-08-02,札幌,6,ロードアマルフィ,2,4,W0に追切なし
2026-08-02,札幌,6,マテンロウカナロア,1,9,W0に追切なし
2026-08-02,札幌,6,ココデイック,8,7,W0に追切なし
2026-08-02,札幌,6,グランセレスト,7,10,W0に追切なし
2026-08-02,札幌,6,ステラデルークス,4,8,W0に追切なし
2026-08-02,札幌,6,タイセイジェイド,3,5,W0に追切なし
2026-08-02,札幌,6,セイントホース,6,1,W0に追切なし
2026-08-02,札幌,6,カフジクロミエ,9,6,W0に追切なし
2026-08-02,札幌,8,エコロハート,7,2,W0に追切なし
2026-08-02,札幌,8,サトノワーグナー,2,1,W0に追切なし
2026-08-02,札幌,8,ブライトアゲイン,8,9,W0に追切なし
2026-08-02,札幌,8,グレートスティック,13,13,W0に追切なし
2026-08-02,札幌,8,ザカリナン,3,7,W0に追切なし
2026-08-02,札幌,8,ロードクラシコ,6,12,W0に追切なし
2026-08-02,札幌,8,ブライアーヒル,10,10,W0に追切なし
2026-08-02,札幌,8,アースコーリング,14,11,W0に追切なし
2026-08-02,札幌,8,アートフォーム,12,14,W0に追切なし
2026-08-02,札幌,8,シャインズオンユー,9,8,W0に追切なし
2026-08-02,札幌,8,ダブルチャレンジ,5,5,W0に追切なし
2026-08-02,札幌,8,レッドカメリア,11,4,W0に追切なし
2026-08-02,札幌,8,ディーズメンフィス,4,6,W0に追切なし
2026-08-02,札幌,8,ジーティーエスピ,1,3,W0に追切なし
2026-08-08,中京,1,カローナ,7,4,W0に追切なし
2026-08-08,中京,2,コンテスタード,1,1,W0に追切なし
2026-08-08,中京,3,サウンドディアナ,15,10,W0に追切なし
2026-08-08,中京,4,レディトゥフライト,13,3,W0に追切なし
2026-08-08,中京,4,タニセンゴールド,1,1,W0に追切なし
2026-08-08,中京,4,キタノハイテイル,9,2,W0に追切なし
2026-08-08,中京,4,メイショウゴッホ,12,9,W0に追切なし
2026-08-08,中京,5,レイクラシック,1,1,W0に追切なし
2026-08-08,中京,5,ワンダーデリエール,4,2,W0に追切なし
2026-08-08,中京,5,アステルディーヴァ,6,4,W0に追切なし
2026-08-08,中京,6,バガン,10,8,W0に追切なし
2026-08-08,中京,6,マイネルフォルツァ,8,11,W0に追切なし
2026-08-08,中京,7,メイショウコガシラ,7,5,W0に追切なし
2026-08-08,中京,7,シンビリーブ,2,1,W0に追切なし
2026-08-08,中京,7,メイショウシナノ,5,3,W0に追切なし
2026-08-08,中京,10,マユナイト,6,10,W0に追切なし
2026-08-08,中京,10,グロリアスニケ,14,12,W0に追切なし
2026-08-08,中京,10,アリュウ,12,16,W0に追切なし
2026-08-08,中京,10,ヒルノジェノヴァ,15,13,W0に追切なし
2026-08-08,中京,12,ミヤジマミコ,17,8,W0に追切なし
2026-08-08,新潟,1,トランサルピナ,6,3,W0に追切なし
2026-08-08,新潟,1,シュアシング,11,12,W0に追切なし
