date,venue,race,N,o1,donguri,d5,fav_out3,atama_are,aite_are,D_PRE_RACE
20250802,07,8,14,1.8,3.6666666666666665,14.555555555555555,0,0,0,0.3319277002502532
20250802,07,9,10,3.4,1.7058823529411764,1.823529411764706,0,0,0,0.3522854877125182
20250802,07,10,13,2.8,1.5000000000000002,3.8214285714285716,0,0,0,0.2941761866129585
20250802,07,11,13,4.0,1.325,3.0,1,0,0,0.1334691652991374
20250802,07,12,16,3.5,2.0,2.8000000000000003,0,1,0,-0.0144296135096979
20250803,01,1,12,3.0,2.4,2.533333333333333,1,0,1,
20250803,01,2,14,1.9,3.736842105263158,6.210526315789474,1,0,0,0.4464033927163179
20250803,01,3,16,2.2,2.818181818181818,4.863636363636363,0,0,0,
20250803,01,4,14,3.0,2.1,2.766666666666667,0,0,0,0.5969633880787018
20250803,01,6,14,3.5,1.7714285714285716,2.6285714285714286,0,0,1,0.7173035308273763
20250803,01,7,12,3.1,1.4838709677419353,3.0,1,0,0,0.7166254105613133
20250803,01,8,11,2.2,3.227272727272727,6.090909090909091,0,0,0,0.6861298565700117
20250803,01,9,10,3.3,1.5151515151515151,2.7272727272727275,1,1,1,0.6364185624679777
20250803,01,10,13,3.9,1.358974358974359,1.6410256410256412,0,0,0,0.6051975355993655
20250803,01,11,14,2.9,2.4827586206896552,2.8620689655172415,0,0,0,0.6041654365728415
20250803,04,2,15,2.5,2.08,4.5200000000000005,0,0,0,
20250803,04,4,13,1.5,5.666666666666667,10.799999999999999,0,0,0,0.4928053803045811
20250803,04,5,15,4.7,1.148936170212766,1.4468085106382977,1,0,1,0.6217553338486184
20250803,04,7,18,3.7,1.3243243243243243,2.7297297297297294,0,0,0,
20250803,04,8,11,2.2,1.9545454545454544,5.727272727272727,0,0,0,0.2774609784315586
20250803,04,9,15,1.8,3.5,11.944444444444445,0,0,0,0.4712729624357405
20250803,04,10,15,2.2,3.227272727272727,7.227272727272727,0,0,0,0.4884589389397063
20250803,04,11,14,2.9,1.4137931034482758,5.724137931034483,0,0,0,0.2900925925957271
20250803,04,12,12,2.8,1.6785714285714288,5.964285714285714,0,0,1,0.2703416774038018
20250803,07,2,15,1.9,4.052631578947369,10.315789473684212,1,0,0,
20250803,07,4,16,3.0,2.1666666666666665,2.6999999999999997,0,0,0,0.6255587841974429
20250803,07,5,16,2.8,1.8214285714285714,4.7857142857142865,0,0,0,0.2530811805505064
20250803,07,6,16,2.5,3.2,4.720000000000001,0,0,0,0.6581996403966083
20250803,07,7,12,3.0,1.6333333333333335,3.0,0,1,0,0.3428513490805606
20250803,07,8,8,1.9,2.263157894736842,8.473684210526317,0,0,0,0.1253275224366488
20250803,07,9,15,2.9,2.103448275862069,3.4482758620689657,0,0,0,0.2849362957839799
20250803,07,10,15,2.9,2.793103448275862,4.206896551724138,0,0,0,0.3354855250018653
20250803,07,11,8,2.6,1.4230769230769231,5.538461538461538,0,0,0,0.3018931610827756
20250803,07,12,18,3.3,2.7878787878787876,3.484848484848485,1,0,0,0.3088643061186739
20250809,01,1,12,1.4,7.928571428571429,10.642857142857144,0,0,0,
20250809,01,2,14,1.6,3.75,12.875,0,0,0,
20250809,01,3,15,3.2,2.28125,2.65625,0,0,0,0.1690182756489596
20250809,01,4,14,2.8,2.3928571428571432,3.2142857142857144,0,0,0,0.7566538343828518
20250809,01,5,11,2.2,2.727272727272727,3.818181818181818,0,0,0,0.3814579617228049
20250809,01,6,15,2.4,2.2083333333333335,7.791666666666667,1,0,1,0.4404271612305496
20250809,01,7,12,2.8,1.7500000000000002,3.2857142857142856,0,0,0,0.8070627423966539
20250809,01,8,11,2.8,2.1785714285714284,4.0357142857142865,0,0,1,0.7610677953594056
20250809,01,9,10,1.4,3.8571428571428577,39.857142857142854,0,0,0,0.5009243256569814
20250809,01,10,10,1.3,6.615384615384615,10.076923076923077,0,0,0,0.5604985280551904
20250809,01,11,14,2.6,2.8846153846153846,3.423076923076923,0,0,0,0.7061276426496694
20250809,01,12,11,1.6,5.374999999999999,18.5625,0,0,0,0.6199207080119967
20250809,04,1,15,1.9,5.526315789473684,8.157894736842106,0,0,0,
20250809,04,2,9,1.5,7.666666666666667,21.933333333333334,0,0,0,
