日付,開催場,R,race_id,racekey,発走,番組表示,馬番,馬名,IDM,IDM印,脚質,騎手名,斤量,調教師,所属,基準単勝,基準複勝,source_url,source_status
2026-08-30,新潟,5,202604030405,04263405,11:45,5R 芝1400 ３歳未勝利 11:45,4,ステキサプライズ,49,◎,差,今村聖[替],55,粕谷昌,美,66.7,12.8,https://jrdb.com/member/n_live_20260830_04263405.html,PASS_UI_RACE_SELECTOR_BASE_ODDS
2026-08-30,新潟,5,202604030405,04263405,11:45,5R 芝1400 ３歳未勝利 11:45,5,エナノムスメ,25,,差,丸田恭[替],55,伊藤大,美,60.2,11.7,https://jrdb.com/member/n_live_20260830_04263405.html,PASS_UI_RACE_SELECTOR_BASE_ODDS
2026-08-30,新潟,5,202604030405,04263405,11:45,5R 芝1400 ３歳未勝利 11:45,6,ラウンドヒル,40,注,先,菊沢一[替],55,田島俊,美,19.9,4.5,https://jrdb.com/member/n_live_20260830_04263405.html,PASS_UI_RACE_SELECTOR_BASE_ODDS
2026-08-30,新潟,5,202604030405,04263405,11:45,5R 芝1400 ３歳未勝利 11:45,7,エフティヴェント,34,,差,石神道[替],55△,金成貴,美,107,20.1,https://jrdb.com/member/n_live_20260830_04263405.html,PASS_UI_RACE_SELECTOR_BASE_ODDS
2026-08-30,新潟,5,202604030405,04263405,11:45,5R 芝1400 ３歳未勝利 11:45,8,カラーオブサクセス,31,,差,小崎綾[替],55,武市康,美,33.6,7,https://jrdb.com/member/n_live_20260830_04263405.html,PASS_UI_RACE_SELECTOR_BASE_ODDS
2026-08-30,新潟,5,202604030405,04263405,11:45,5R 芝1400 ３歳未勝利 11:45,9,アリアス,37,,追,三浦皇[替],55,高柳瑞,美,11.8,2.9,https://jrdb.com/member/n_live_20260830_04263405.html,PASS_UI_RACE_SELECTOR_BASE_ODDS
2026-08-30,新潟,5,202604030405,04263405,11:45,5R 芝1400 ３歳未勝利 11:45,10,ソルティアーラ,15,,差,ミシェ[替],55,西田雄,美,45.1,9.1,https://jrdb.com/member/n_live_20260830_04263405.html,PASS_UI_RACE_SELECTOR_BASE_ODDS
2026-08-30,新潟,5,202604030405,04263405,11:45,5R 芝1400 ３歳未勝利 11:45,11,オンナキュヌヴィ,39,,差,田辺裕[替],55,蛯名正,美,3.4,1.5,https://jrdb.com/member/n_live_20260830_04263405.html,PASS_UI_RACE_SELECTOR_BASE_ODDS
2026-08-30,新潟,5,202604030405,04263405,11:45,5R 芝1400 ３歳未勝利 11:45,12,ネオアンボウ,27,,差,野中悠[替],57,松尾卓,美,66,12.7,https://jrdb.com/member/n_live_20260830_04263405.html,PASS_UI_RACE_SELECTOR_BASE_ODDS
2026-08-30,新潟,5,202604030405,04263405,11:45,5R 芝1400 ３歳未勝利 11:45,13,ウインテラジーナ,42,○,差,津村明,55,栗田徹,美,5.1,1.8,https://jrdb.com/member/n_live_20260830_04263405.html,PASS_UI_RACE_SELECTOR_BASE_ODDS
2026-08-30,新潟,5,202604030405,04263405,11:45,5R 芝1400 ３歳未勝利 11:45,14,ワインレッドハート,10,,追,上里直[替],52▲,戸田博,美,57.1,11.1,https://jrdb.com/member/n_live_20260830_04263405.html,PASS_UI_RACE_SELECTOR_BASE_ODDS
2026-08-30,新潟,5,202604030405,04263405,11:45,5R 芝1400 ３歳未勝利 11:45,15,ルディドゥゲンジ,39,,追,嶋田純[替],55,蛯名利,美,39,8,https://jrdb.com/member/n_live_20260830_04263405.html,PASS_UI_RACE_SELECTOR_BASE_ODDS
2026-08-30,新潟,5,202604030405,04263405,11:45,5R 芝1400 ３歳未勝利 11:45,16,ペルウィクトール,41,▲,先,岩田望[替],57,宮田敬,美,5.4,1.8,https://jrdb.com/member/n_live_20260830_04263405.html,PASS_UI_RACE_SELECTOR_BASE_ODDS
2026-08-30,新潟,5,202604030405,04263405,11:45,5R 芝1400 ３歳未勝利 11:45,17,エイシンイクサボシ,39,,先,木幡初,55,勢司和,美,32,6.7,https://jrdb.com/member/n_live_20260830_04263405.html,PASS_UI_RACE_SELECTOR_BASE_ODDS
2026-08-30,新潟,5,202604030405,04263405,11:45,5R 芝1400 ３歳未勝利 11:45,18,ミクロスギガース,39,,先,杉原誠,55,西田雄,美,39.1,8,https://jrdb.com/member/n_live_20260830_04263405.html,PASS_UI_RACE_SELECTOR_BASE_ODDS
2026-08-30,新潟,6,202604030406,04263406,14:35,6R ダ1800 両津湾特別 2勝クラス 14:35,1,ピコシー,52,▽,差,内田博[替],58,奥村武,美,21.6,4.4,https://jrdb.com/member/n_live_20260830_04263406.html,PASS_UI_RACE_SELECTOR_BASE_ODDS
2026-08-30,新潟,6,202604030406,04263406,14:35,6R ダ1800 両津湾特別 2勝クラス 14:35,2,ビービーアジャイル,56,△,先,ルメー,55,中舘英,美,2.5,1.3,https://jrdb.com/member/n_live_20260830_04263406.html,PASS_UI_RACE_SELECTOR_BASE_ODDS
2026-08-30,新潟,6,202604030406,04263406,14:35,6R ダ1800 両津湾特別 2勝クラス 14:35,3,オクトーバーナイン,58,○,先,戸崎圭[替],55,稲垣幸,美,4.5,1.6,https://jrdb.com/member/n_live_20260830_04263406.html,PASS_UI_RACE_SELECTOR_BASE_ODDS
2026-08-30,新潟,6,202604030406,04263406,14:35,6R ダ1800 両津湾特別 2勝クラス 14:35,4,ニシノケンタマン,56,注,差,今村聖,58,深山雅,美,8.6,2.3,https://jrdb.com/member/n_live_20260830_04263406.html,PASS_UI_RACE_SELECTOR_BASE_ODDS
2026-08-30,新潟,6,202604030406,04263406,14:35,6R ダ1800 両津湾特別 2勝クラス 14:35,5,コパノエビータ,43,,差,嶋田純[替],56,手塚貴,美,93.4,16.3,https://jrdb.com/member/n_live_20260830_04263406.html,PASS_UI_RACE_SELECTOR_BASE_ODDS
2026-08-30,新潟,6,202604030406,04263406,14:35,6R ダ1800 両津湾特別 2勝クラス 14:35,6,アルベリック,46,,追,三浦皇[替],58,中竹和,栗,33.7,6.5,https://jrdb.com/member/n_live_20260830_04263406.html,PASS_UI_RACE_SELECTOR_BASE_ODDS
2026-08-30,新潟,6,202604030406,04263406,14:35,6R ダ1800 両津湾特別 2勝クラス 14:35,7,トゥーザムーン,50,,先,岩田康[替],56,辻哲英,美,11.1,2.6,https://jrdb.com/member/n_live_20260830_04263406.html,PASS_UI_RACE_SELECTOR_BASE_ODDS
2026-08-30,新潟,6,202604030406,04263406,14:35,6R ダ1800 両津湾特別 2勝クラス 14:35,8,スターシップ,57,▲,追,川田将[替],55,高柳大,栗,5.1,1.7,https://jrdb.com/member/n_live_20260830_04263406.html,PASS_UI_RACE_SELECTOR_BASE_ODDS
2026-08-30,新潟,6,202604030406,04263406,14:35,6R ダ1800 両津湾特別 2勝クラス 14:35,9,ヴァイヴァーイ,52,,先,小崎綾[替],53,小崎憲,栗,13.5,3,https://jrdb.com/member/n_live_20260830_04263406.html,PASS_UI_RACE_SELECTOR_BASE_ODDS
2026-08-30,新潟,6,202604030406,04263406,14:35,6R ダ1800 両津湾特別 2勝クラス 14:35,10,フラッシング,46,,追,丸田恭[替],58,牧浦充,栗,60.4,10.8,https://jrdb.com/member/n_live_20260830_04263406.html,PASS_UI_RACE_SELECTOR_BASE_ODDS
2026-08-30,新潟,6,202604030406,04263406,14:35,6R ダ1800 両津湾特別 2勝クラス 14:35,11,ジェーケーボンバー,40,,差,菊沢一,58,上原博,美,126,21.8,https://jrdb.com/member/n_live_20260830_04263406.html,PASS_UI_RACE_SELECTOR_BASE_ODDS
2026-08-30,新潟,6,202604030406,04263406,14:35,6R ダ1800 両津湾特別 2勝クラス 14:35,12,マハナ,43,,追,石橋脩[替],56,井上智,栗,65,11.6,https://jrdb.com/member/n_live_20260830_04263406.html,PASS_UI_RACE_SELECTOR_BASE_ODDS
2026-08-30,新潟,6,202604030406,04263406,14:35,6R ダ1800 両津湾特別 2勝クラス 14:35,13,クロドラバール,43,,差,池添謙[替],58,奥村武,美,39.9,7.5,https://jrdb.com/member/n_live_20260830_04263406.html,PASS_UI_RACE_SELECTOR_BASE_ODDS
2026-08-30,新潟,6,202604030406,04263406,14:35,6R ダ1800 両津湾特別 2勝クラス 14:35,14,コスモコンフェルマ,59,◎,先,柴田大,58,鈴木慎,美,12.9,2.9,https://jrdb.com/member/n_live_20260830_04263406.html,PASS_UI_RACE_SELECTOR_BASE_ODDS
2026-08-30,新潟,6,202604030406,04263406,14:35,6R ダ1800 両津湾特別 2勝クラス 14:35,15,ノルドヴェスト,43,,差,原優介[替],58,秋本大,美,43.9,8.2,https://jrdb.com/member/n_live_20260830_04263406.html,PASS_UI_RACE_SELECTOR_BASE_ODDS
2026-08-30,新潟,7,202604030407,04263407,15:10,7R 芝2200 日本海ステークス 3勝クラス WIN5 15:10,1,シャドウメテオ,57,,追,三浦皇[替],56,金成貴,美,7.6,2.3,https://jrdb.com/member/n_live_20260830_04263407.html,PASS_UI_RACE_SELECTOR_BASE_ODDS
2026-08-30,新潟,7,202604030407,04263407,15:10,7R 芝2200 日本海ステークス 3勝クラス WIN5 15:10,2,ウインデイジー,57,,差,岩田康[替],56,宮　徹,栗,13.9,3.3,https://jrdb.com/member/n_live_20260830_04263407.html,PASS_UI_RACE_SELECTOR_BASE_ODDS
2026-08-30,新潟,7,202604030407,04263407,15:10,7R 芝2200 日本海ステークス 3勝クラス WIN5 15:10,3,チャリングクロス,59,注,差,戸崎圭,55,奥村武,美,3.3,1.4,https://jrdb.com/member/n_live_20260830_04263407.html,PASS_UI_RACE_SELECTOR_BASE_ODDS
2026-08-30,新潟,7,202604030407,04263407,15:10,7R 芝2200 日本海ステークス 3勝クラス WIN5 15:10,4,シュバルツマサムネ,56,,先,高田潤[替],58,杉山佳,栗,37.4,7.7,https://jrdb.com/member/n_live_20260830_04263407.html,PASS_UI_RACE_SELECTOR_BASE_ODDS
2026-08-30,新潟,7,202604030407,04263407,15:10,7R 芝2200 日本海ステークス 3勝クラス WIN5 15:10,5,サダムオプシス,63,○,追,ルメー[替],58,平田修,栗,4.2,1.6,https://jrdb.com/member/n_live_20260830_04263407.html,PASS_UI_RACE_SELECTOR_BASE_ODDS
2026-08-30,新潟,7,202604030407,04263407,15:10,7R 芝2200 日本海ステークス 3勝クラス WIN5 15:10,6,ナムラフッカー,57,,追,原優介[替],58,長谷川,栗,50.6,10.1,https://jrdb.com/member/n_live_20260830_04263407.html,PASS_UI_RACE_SELECTOR_BASE_ODDS
2026-08-30,新潟,7,202604030407,04263407,15:10,7R 芝2200 日本海ステークス 3勝クラス WIN5 15:10,7,オストラヴァ,60,▲,先,津村明,58,林　徹,美,4,1.5,https://jrdb.com/member/n_live_20260830_04263407.html,PASS_UI_RACE_SELECTOR_BASE_ODDS
2026-08-30,新潟,7,202604030407,04263407,15:10,7R 芝2200 日本海ステークス 3勝クラス WIN5 15:10,8,ベンサレム,50,,先,岩田望[替],58,稲垣幸,美,20.6,4.6,https://jrdb.com/member/n_live_20260830_04263407.html,PASS_UI_RACE_SELECTOR_BASE_ODDS
2026-08-30,新潟,7,202604030407,04263407,15:10,7R 芝2200 日本海ステークス 3勝クラス WIN5 15:10,9,タイセイフェリーク,54,,追,小崎綾[替],56,青木孝,美,31.7,6.6,https://jrdb.com/member/n_live_20260830_04263407.html,PASS_UI_RACE_SELECTOR_BASE_ODDS
2026-08-30,新潟,7,202604030407,04263407,15:10,7R 芝2200 日本海ステークス 3勝クラス WIN5 15:10,10,サトノパトリオット,65,◎,先,川田将,58,木村哲,美,5.3,1.8,https://jrdb.com/member/n_live_20260830_04263407.html,PASS_UI_RACE_SELECTOR_BASE_ODDS
2026-08-30,新潟,7,202604030407,04263407,15:10,7R 芝2200 日本海ステークス 3勝クラス WIN5 15:10,11,リンフレスカンテ,57,▽,追,石橋脩[替],58,宮本博,栗,33.9,7,https://jrdb.com/member/n_live_20260830_04263407.html,PASS_UI_RACE_SELECTOR_BASE_ODDS
