日付,開催場,R,race_id,racekey,発走,番組表示,馬番,馬名,馬トク指数,IDM,激走指数,激印,激走要因1,激走要因2,激走要因3,基準単オッズ,基準人気,馬体重,増減,波乱度,1番人気信頼度,1番人気妙味度,source_url,source_status
2026-08-30,新潟,5,202604030405,04263405,11:45,5R 芝1400 ３歳未勝利 11:45,2,チョコブラウニー,33,13,34.15,0,,,,186,18,,,S,D,A,https://umatoku.hochi.co.jp/data/race/04263405/previous,PASS_EMBEDDED_JSON
2026-08-30,新潟,5,202604030405,04263405,11:45,5R 芝1400 ３歳未勝利 11:45,3,ゴッドレイ,56.1,39.3,55.2,3,,,,14.6,6,,,S,D,A,https://umatoku.hochi.co.jp/data/race/04263405/previous,PASS_EMBEDDED_JSON
2026-08-30,新潟,5,202604030405,04263405,11:45,5R 芝1400 ３歳未勝利 11:45,4,ステキサプライズ,59,49,51.02,1,,,,66.7,16,,,S,D,A,https://umatoku.hochi.co.jp/data/race/04263405/previous,PASS_EMBEDDED_JSON
2026-08-30,新潟,5,202604030405,04263405,11:45,5R 芝1400 ３歳未勝利 11:45,5,エナノムスメ,42,25.2,48.93,0,,,,60.2,14,,,S,D,A,https://umatoku.hochi.co.jp/data/race/04263405/previous,PASS_EMBEDDED_JSON
2026-08-30,新潟,5,202604030405,04263405,11:45,5R 芝1400 ３歳未勝利 11:45,6,ラウンドヒル,54,40.1,53.13,0,,,,19.9,7,,,S,D,A,https://umatoku.hochi.co.jp/data/race/04263405/previous,PASS_EMBEDDED_JSON
2026-08-30,新潟,5,202604030405,04263405,11:45,5R 芝1400 ３歳未勝利 11:45,7,エフティヴェント,50,34,45.22,0,,,,106.6,17,,,S,D,A,https://umatoku.hochi.co.jp/data/race/04263405/previous,PASS_EMBEDDED_JSON
2026-08-30,新潟,5,202604030405,04263405,11:45,5R 芝1400 ３歳未勝利 11:45,8,カラーオブサクセス,46,31,48.88,0,,,,33.6,9,,,S,D,A,https://umatoku.hochi.co.jp/data/race/04263405/previous,PASS_EMBEDDED_JSON
2026-08-30,新潟,5,202604030405,04263405,11:45,5R 芝1400 ３歳未勝利 11:45,9,アリアス,54.1,37,53.62,4,,,,11.8,5,,,S,D,A,https://umatoku.hochi.co.jp/data/race/04263405/previous,PASS_EMBEDDED_JSON
2026-08-30,新潟,5,202604030405,04263405,11:45,5R 芝1400 ３歳未勝利 11:45,10,ソルティアーラ,34,15,39.89,0,,,,45.1,12,,,S,D,A,https://umatoku.hochi.co.jp/data/race/04263405/previous,PASS_EMBEDDED_JSON
2026-08-30,新潟,5,202604030405,04263405,11:45,5R 芝1400 ３歳未勝利 11:45,11,オンナキュヌヴィ,57.5,39,53.38,0,,,,3.4,1,,,S,D,A,https://umatoku.hochi.co.jp/data/race/04263405/previous,PASS_EMBEDDED_JSON
