日付,開催場,R,race_id,racekey,発走,番組表示,馬番,馬名,基準単勝,基準複勝,オッズ種別,source_url,source_status
2026-08-30,新潟,5,202604030405,04263405,11:45,5R 芝1400 ３歳未勝利 11:45,9,アリアス,11.8,2.9,JRDB基準オッズ（確定オッズではない）,https://jrdb.com/member/n_live_20260830_04263405.html,PASS_UI_RACE_SELECTOR_BASE_ODDS
2026-08-30,新潟,5,202604030405,04263405,11:45,5R 芝1400 ３歳未勝利 11:45,10,ソルティアーラ,45.1,9.1,JRDB基準オッズ（確定オッズではない）,https://jrdb.com/member/n_live_20260830_04263405.html,PASS_UI_RACE_SELECTOR_BASE_ODDS
2026-08-30,新潟,5,202604030405,04263405,11:45,5R 芝1400 ３歳未勝利 11:45,11,オンナキュヌヴィ,3.4,1.5,JRDB基準オッズ（確定オッズではない）,https://jrdb.com/member/n_live_20260830_04263405.html,PASS_UI_RACE_SELECTOR_BASE_ODDS
2026-08-30,新潟,5,202604030405,04263405,11:45,5R 芝1400 ３歳未勝利 11:45,12,ネオアンボウ,66,12.7,JRDB基準オッズ（確定オッズではない）,https://jrdb.com/member/n_live_20260830_04263405.html,PASS_UI_RACE_SELECTOR_BASE_ODDS
2026-08-30,新潟,5,202604030405,04263405,11:45,5R 芝1400 ３歳未勝利 11:45,13,ウインテラジーナ,5.1,1.8,JRDB基準オッズ（確定オッズではない）,https://jrdb.com/member/n_live_20260830_04263405.html,PASS_UI_RACE_SELECTOR_BASE_ODDS
2026-08-30,新潟,5,202604030405,04263405,11:45,5R 芝1400 ３歳未勝利 11:45,14,ワインレッドハート,57.1,11.1,JRDB基準オッズ（確定オッズではない）,https://jrdb.com/member/n_live_20260830_04263405.html,PASS_UI_RACE_SELECTOR_BASE_ODDS
2026-08-30,新潟,5,202604030405,04263405,11:45,5R 芝1400 ３歳未勝利 11:45,15,ルディドゥゲンジ,39,8,JRDB基準オッズ（確定オッズではない）,https://jrdb.com/member/n_live_20260830_04263405.html,PASS_UI_RACE_SELECTOR_BASE_ODDS
2026-08-30,新潟,5,202604030405,04263405,11:45,5R 芝1400 ３歳未勝利 11:45,16,ペルウィクトール,5.4,1.8,JRDB基準オッズ（確定オッズではない）,https://jrdb.com/member/n_live_20260830_04263405.html,PASS_UI_RACE_SELECTOR_BASE_ODDS
2026-08-30,新潟,5,202604030405,04263405,11:45,5R 芝1400 ３歳未勝利 11:45,17,エイシンイクサボシ,32,6.7,JRDB基準オッズ（確定オッズではない）,https://jrdb.com/member/n_live_20260830_04263405.html,PASS_UI_RACE_SELECTOR_BASE_ODDS
2026-08-30,新潟,5,202604030405,04263405,11:45,5R 芝1400 ３歳未勝利 11:45,18,ミクロスギガース,39.1,8,JRDB基準オッズ（確定オッズではない）,https://jrdb.com/member/n_live_20260830_04263405.html,PASS_UI_RACE_SELECTOR_BASE_ODDS
2026-08-30,新潟,6,202604030406,04263406,14:35,6R ダ1800 両津湾特別 2勝クラス 14:35,1,ピコシー,21.6,4.4,JRDB基準オッズ（確定オッズではない）,https://jrdb.com/member/n_live_20260830_04263406.html,PASS_UI_RACE_SELECTOR_BASE_ODDS
2026-08-30,新潟,6,202604030406,04263406,14:35,6R ダ1800 両津湾特別 2勝クラス 14:35,2,ビービーアジャイル,2.5,1.3,JRDB基準オッズ（確定オッズではない）,https://jrdb.com/member/n_live_20260830_04263406.html,PASS_UI_RACE_SELECTOR_BASE_ODDS
2026-08-30,新潟,6,202604030406,04263406,14:35,6R ダ1800 両津湾特別 2勝クラス 14:35,3,オクトーバーナイン,4.5,1.6,JRDB基準オッズ（確定オッズではない）,https://jrdb.com/member/n_live_20260830_04263406.html,PASS_UI_RACE_SELECTOR_BASE_ODDS
2026-08-30,新潟,6,202604030406,04263406,14:35,6R ダ1800 両津湾特別 2勝クラス 14:35,4,ニシノケンタマン,8.6,2.3,JRDB基準オッズ（確定オッズではない）,https://jrdb.com/member/n_live_20260830_04263406.html,PASS_UI_RACE_SELECTOR_BASE_ODDS
2026-08-30,新潟,6,202604030406,04263406,14:35,6R ダ1800 両津湾特別 2勝クラス 14:35,5,コパノエビータ,93.4,16.3,JRDB基準オッズ（確定オッズではない）,https://jrdb.com/member/n_live_20260830_04263406.html,PASS_UI_RACE_SELECTOR_BASE_ODDS
2026-08-30,新潟,6,202604030406,04263406,14:35,6R ダ1800 両津湾特別 2勝クラス 14:35,6,アルベリック,33.7,6.5,JRDB基準オッズ（確定オッズではない）,https://jrdb.com/member/n_live_20260830_04263406.html,PASS_UI_RACE_SELECTOR_BASE_ODDS
