日付,開催場,R,race_id,racekey,発走,番組表示,馬番,馬名,騎手,基準オッズ,人気,ラップ適性,ラップキャラ,SAV,信頼度,妙味度,展開順位,ST指数,仕上指数,合計値,合計値順位,出遅率,先行力,追走力,持久力,持続力,瞬発力,前3F順位,前3F差,前3F内外,勝負所順位,勝負所差,勝負所内外,G前順位,G前差,G前内外,斤量,騎手タイプ,騎手指数,騎手コメント,当該コース騎手総数,当該コース騎手勝率,当該コース騎手連対率,当該コース騎手複勝率,厩舎,最近放牧先,何走目,厩舎外厩総数,厩舎外厩勝率,厩舎外厩連対率,厩舎外厩複勝率,馬外厩総数,馬外厩勝率,馬外厩連対率,馬外厩複勝率,性,齢,前肢,後肢,蹄,重適性,特記1,特記2,特記3,父馬名,血統総数,血統勝率,血統連対率,血統複勝率,1週前追切,最終追切,調教指数,調教パターン,source_url,source_status
2026-08-29,新潟,10,202604030310,04263310,17:00,10R 芝1400 ３歳上１勝クラス 17:00,17,ガミーヌ,石神深道,28.7,10,高速瞬発,,72,Ｃ,Ｓ,5,53,55,-2,4,9%,59 (4),66 (2),59 (4),52 (9),45 (14),5,4,中,3,0,中,5,11,中,51,,54,直近◎,28,4%,4%,4%,水野貴広,ビッグレッドＦ鉾田,3,19,5 %,42 %,42 %,,,,,牝,3,短,短,細ベ,△,腰甘い,広馬場向,平坦向き,フィエールマン,43,7%,21%,26%,,,55,,https://stride.get-luck.jp/member/race_viewer_test.php?racedate=20260829&racekey=04263310&jo=0&idpm=iFT66JycF8pFY,PASS
2026-08-29,新潟,10,202604030310,04263310,17:00,10R 芝1400 ３歳上１勝クラス 17:00,18,タイキオーベロン,石田拓郎,18.6,8,高速スタミナ,カスリ,64,Ｃ,Ｓ,7,52,54,-4,5,9%,49 (10),50 (11),51 (8),55 (6),57 (4),9,7,内,9,4,中,7,14,大外,56,,46,直近○,23,4%,4%,4%,高木登,松風馬事センター,2,154,7 %,14 %,23 %,1,0%,0%,0 %,牡,4,短,短,小ベ,△,馬込平気,時計速×,内枠○,ダノンレジェンド,14,0%,0%,0%,60(美坂),61(美坂),54,坂路平均,https://stride.get-luck.jp/member/race_viewer_test.php?racedate=20260829&racekey=04263310&jo=0&idpm=iFT66JycF8pFY,PASS
2026-08-29,新潟,11,202604030311,04263311,17:30,11R 芝2000 ３歳未勝利 17:30,1,ウィズアツインクル,武藤雅,61.4,16,高速持続,カスリ,48,Ｄ,Ｄ,12,38,43,-7,9,0%,53 (10),42 (14),33 (18),45 (12),56 (4),6,5,最内,11,11,最内,12,18,内,57,[久][続][瞬],47,枠脚質○,28,11%,14%,21%,牧光二,阿見トレセン,2,122,8 %,15 %,19 %,,,,,牡,3,短,短,中標ベ,△,上が速×,腰甘い,フット×,ダノンバラード,128,7%,13%,20%,50(美坂),55(南Ｗ),43,併用終い重点,https://stride.get-luck.jp/member/race_viewer_test.php?racedate=20260829&racekey=04263311&jo=0&idpm=iFT66JycF8pFY,PASS
2026-08-29,新潟,11,202604030311,04263311,17:30,11R 芝2000 ３歳未勝利 17:30,2,ムーングレイル,石神深道,12.1,4,中速瞬発,,70,Ｃ,Ｓ,3,46,51,9,1,10%,65 (1),68 (1),50 (9),52 (8),52 (7),1,0,内,1,0,最内,3,11,最内,55,,50,直近◎,19,0%,11%,21%,森一誠,エスティＦ小見川,1,45,9 %,20 %,36 %,5,0%,20%,40 %,セ,3,短,短,小ベ,△,腰甘い,,,ミッキーアイル,73,5%,18%,30%,64(美坂),65(南Ｗ),51,併用平均,https://stride.get-luck.jp/member/race_viewer_test.php?racedate=20260829&racekey=04263311&jo=0&idpm=iFT66JycF8pFY,PASS
2026-08-29,新潟,11,202604030311,04263311,17:30,11R 芝2000 ３歳未勝利 17:30,3,エリュグレイス,戸崎圭太,5.6,2,中速底力,カスリ,68,Ｃ,Ｄ,4,41,44,-3,6,0%,65 (2),60 (3),40 (16),31 (18),28 (18),2,1,最内,2,3,最内,4,12,内,55,[先][続][瞬],49,"枠脚質×,直近×",22,9%,23%,23%,和田勇介,山元トレセン,1,243,8 %,14 %,21 %,3,0%,67%,100 %,牝,3,短,短,細ベ,△,良脚長使,腰甘い,上が掛○,エピファネイア,360,10%,20%,28%,52(南Ｗ),42(南Ｗ),44,コース終い重点,https://stride.get-luck.jp/member/race_viewer_test.php?racedate=20260829&racekey=04263311&jo=0&idpm=iFT66JycF8pFY,PASS
2026-08-29,新潟,11,202604030311,04263311,17:30,11R 芝2000 ３歳未勝利 17:30,4,ジーナグレイス,川須栄彦,34.2,12,中速瞬発,,59,Ｄ,Ｄ,7,42,43,-3,5,29%,54 (9),53 (9),48 (11),49 (9),50 (9),9,7,最内,8,9,最内,7,14,内,55,[続][瞬],47,,,%,%,%,田中勝春,ノーザンＦ天栄,4,,,,,,,,,牝,3,短,短,小標ベ,△,突っ張る,平坦向き,完歩小さ,キセキ,11,0%,9%,18%,,,43,,https://stride.get-luck.jp/member/race_viewer_test.php?racedate=20260829&racekey=04263311&jo=0&idpm=iFT66JycF8pFY,PASS
2026-08-29,新潟,11,202604030311,04263311,17:30,11R 芝2000 ３歳未勝利 17:30,5,グランフルス,菊沢一樹,52.9,15,中速バランス,カスリ,47,Ｄ,Ｄ,13,38,43,-7,10,25%,41 (15),49 (10),64 (2),59 (4),52 (8),15,11,最内,13,12,内,13,18,外,57,[続][瞬],51,"枠脚質×,直近◎,誕(無)",32,9%,16%,19%,矢野英一,ノルマンディーＦ,3,,,,,,,,,牡,3,短,短,小標ベ,△,脚捌き△,追頭上る,腰甘い,イスラボニータ,113,7%,14%,21%,39(札ダ),52(札ダ),43,コース平均,https://stride.get-luck.jp/member/race_viewer_test.php?racedate=20260829&racekey=04263311&jo=0&idpm=iFT66JycF8pFY,PASS
2026-08-29,新潟,11,202604030311,04263311,17:30,11R 芝2000 ３歳未勝利 17:30,6,レインボーワールド,野中悠太郎,170.1,17,超低速バランス,,39,Ｄ,Ｄ,16,33,31,-24,17,0%,42 (14),38 (17),45 (12),43 (16),43 (15),13,9,中,16,14,中,16,20,大外,55,[先][続][瞬],51,馬主○,11,0%,0%,0%,畠山吉宏,松風馬事センター,1,30,0 %,0 %,3 %,1,0%,0%,0 %,牝,3,短,短,小立,○,腰甘い,,,トゥザワールド,16,13%,19%,19%,30(南Ｗ),47(南Ｗ),31,コース平均,https://stride.get-luck.jp/member/race_viewer_test.php?racedate=20260829&racekey=04263311&jo=0&idpm=iFT66JycF8pFY,PASS
2026-08-29,新潟,11,202604030311,04263311,17:30,11R 芝2000 ３歳未勝利 17:30,7,ミリオングローリー,丸山元気,20.9,6,高速持続,カスリ,63,Ｃ,Ｓ,9,43,44,-1,4,25%,37 (16),48 (11),70 (1),68 (1),62 (3),16,14,最内,15,14,内,9,15,外,57,[先][続][瞬],41,"枠脚質○,直近×",17,12%,12%,24%,蛯名正義,ファンタストクラブ,2,5,60 %,60 %,60 %,,,,,牡,3,短,短,細標ベ,○,芝向き,時計速×,腰甘い,ミッキーグローリー,15,0%,7%,7%,,49(美坂),44,坂路平均,https://stride.get-luck.jp/member/race_viewer_test.php?racedate=20260829&racekey=04263311&jo=0&idpm=iFT66JycF8pFY,PASS
2026-08-29,新潟,11,202604030311,04263311,17:30,11R 芝2000 ３歳未勝利 17:30,8,スイートハイデン,岩田康誠,26.7,10,高速スタミナ,,44,Ｄ,Ｄ,14,37,41,-10,14,20%,57 (5),54 (6),44 (13),45 (14),47 (12),10,7,中,12,11,中,14,19,中,55,[先][続][瞬],43,"枠脚質×,直近×",9,0%,0%,0%,菊川正達,吉澤Ｓ－ＥＡＳＴ,3,9,0 %,11 %,11 %,,,,,牝,3,短,短,小ベ,△,終い甘い,腰甘い,完歩小さ,ロジャーバローズ,36,0%,8%,19%,39(南Ｗ),41(南Ｗ),41,コース平均,https://stride.get-luck.jp/member/race_viewer_test.php?racedate=20260829&racekey=04263311&jo=0&idpm=iFT66JycF8pFY,PASS
2026-08-29,新潟,11,202604030311,04263311,17:30,11R 芝2000 ３歳未勝利 17:30,9,ヘルヴィッツ,小崎綾也,42.2,13,中速バランス,カスリ,49,Ｄ,Ｄ,11,40,43,-5,8,0%,36 (17),39 (16),58 (4),65 (3),67 (2),17,14,内,17,16,最内,11,18,大外,57,[久][続][瞬],48,枠脚質○,6,0%,0%,17%,柄崎将寿,エスティＦ小見川,2,13,0 %,8 %,8 %,1,0%,0%,0 %,牡,3,短,短,細標,○,腰甘い,フット×,完歩小さ,ミスターメロディ,29,10%,17%,21%,,56(美坂),43,坂路平均,https://stride.get-luck.jp/member/race_viewer_test.php?racedate=20260829&racekey=04263311&jo=0&idpm=iFT66JycF8pFY,PASS
2026-08-29,新潟,11,202604030311,04263311,17:30,11R 芝2000 ３歳未勝利 17:30,10,ノブステップ,石田拓郎,206.0,18,高速底力,,36,Ｄ,Ｄ,18,32,39,-17,16,14%,55 (7),47 (13),36 (17),36 (17),39 (17),5,4,内,10,10,内,18,21,内,55,,48,"枠脚質○,直近○",14,0%,0%,7%,田中勝春,小野瀬ファーム,3,3,0 %,33 %,33 %,,,,,牡,3,短,短,細ベ,△,脚捌き△,腰甘い,揉れ弱い,ダノンキングリー,13,23%,31%,38%,,17(美坂),39,坂路平均,https://stride.get-luck.jp/member/race_viewer_test.php?racedate=20260829&racekey=04263311&jo=0&idpm=iFT66JycF8pFY,PASS
2026-08-29,新潟,11,202604030311,04263311,17:30,11R 芝2000 ３歳未勝利 17:30,11,ヤマニンリンキング,大野拓弥,5.9,3,中速持続,ピッタリ,79,Ｂ,Ｂ,2,47,44,3,2,0%,55 (8),64 (2),62 (3),53 (7),45 (13),3,3,最内,3,5,最内,2,8,中,57,[先][追][瞬],45,"馬主○,枠脚質○,直近○",13,0%,15%,23%,辻哲英,エスティＦ小見川,2,15,13 %,13 %,33 %,,,,,牡,3,短,短,小標ベ,△,時計速×,,,ディーマジェスティ,37,0%,5%,8%,44(美坂),38(美坂),44,坂路平均,https://stride.get-luck.jp/member/race_viewer_test.php?racedate=20260829&racekey=04263311&jo=0&idpm=iFT66JycF8pFY,PASS
2026-08-29,新潟,11,202604030311,04263311,17:30,11R 芝2000 ３歳未勝利 17:30,12,イベリスアマラ,内田博幸,25.4,9,中速持続,ピッタリ,62,Ｃ,Ｓ,6,36,36,-16,15,50%,56 (6),56 (5),48 (10),44 (15),41 (16),4,3,中,4,7,内,6,13,中,57,[追][続],52,"馬主○,枠脚質○",9,0%,0%,11%,高橋文雅,ノーザンＦ天栄,1,116,8 %,10 %,16 %,4,0%,0%,0 %,牡,3,短,短,小標ベ,△,腰甘い,上が掛○,芝向き,オルフェーヴル,122,4%,13%,21%,41(南Ｗ),50(南Ｗ),36,コース終い重点,https://stride.get-luck.jp/member/race_viewer_test.php?racedate=20260829&racekey=04263311&jo=0&idpm=iFT66JycF8pFY,PASS
2026-08-29,新潟,11,202604030311,04263311,17:30,11R 芝2000 ３歳未勝利 17:30,13,イノーマル,三浦皇成,14.7,5,中速持続,ピッタリ,62,Ｃ,Ｓ,5,42,42,-4,7,0%,58 (3),53 (8),42 (15),46 (11),50 (10),7,5,中,6,8,外,5,13,外,57,[続][瞬],52,"調教師○,枠脚質×,直近▲",22,18%,18%,23%,高柳瑞樹,テンコーＴＣ,2,27,15 %,22 %,22 %,,,,,牡,3,短,短,中標ベ,△,腰甘い,,,コントレイル,30,3%,17%,27%,,47(南Ｗ),42,コース平均,https://stride.get-luck.jp/member/race_viewer_test.php?racedate=20260829&racekey=04263311&jo=0&idpm=iFT66JycF8pFY,PASS
2026-08-29,新潟,11,202604030311,04263311,17:30,11R 芝2000 ３歳未勝利 17:30,14,マイネルアルゴー,柴田大知,31.1,11,低速バランス,,43,Ｄ,Ｄ,15,36,43,-9,13,50%,47 (12),42 (15),42 (14),45 (13),48 (11),12,9,最内,14,13,最内,15,19,最内,57,[続][瞬],46,"馬主○,枠脚質○",28,7%,14%,18%,清水英克,ビッグレッドＦ鉾田,1,43,2 %,12 %,12 %,1,0%,0%,0 %,牡,3,短,短,小ベ,△,フット×,脚外振走,心房細動,スクリーンヒーロー,119,10%,14%,27%,49(南Ｗ),52(南Ｗ),43,コース平均,https://stride.get-luck.jp/member/race_viewer_test.php?racedate=20260829&racekey=04263311&jo=0&idpm=iFT66JycF8pFY,PASS
2026-08-29,新潟,11,202604030311,04263311,17:30,11R 芝2000 ３歳未勝利 17:30,15,レッドレガリア,Ｃ．ルメール,2.1,1,中速底力,カスリ,120,ＡＡ,Ｂ,1,45,46,3,3,25%,44 (13),48 (12),56 (5),66 (2),70 (1),14,10,内,9,10,外,1,0,大外,57,[先][追][続][瞬],86,"調教師○,馬主○,枠脚質×",8,25%,38%,50%,木村哲也,ノーザンＦ天栄,2,59,17 %,27 %,37 %,1,0%,0%,100 %,牡,3,短,短,小ベ,△,,,,エピファネイア,360,10%,20%,28%,55(南Ｗ),45(南Ｗ),46,併用終い重点,https://stride.get-luck.jp/member/race_viewer_test.php?racedate=20260829&racekey=04263311&jo=0&idpm=iFT66JycF8pFY,PASS
2026-08-29,新潟,11,202604030311,04263311,17:30,11R 芝2000 ３歳未勝利 17:30,16,トーアシチフクジン,Ｍ．ミシェル,51.0,14,低速底力,,36,Ｄ,Ｄ,17,27,29,-32,18,38%,30 (18),27 (18),51 (8),53 (6),53 (6),18,17,最内,18,21,最内,17,21,最内,57,,58,,,%,%,%,村田一誠,高橋ＴＣ,1,69,7 %,10 %,17 %,1,0%,0%,0 %,牡,3,普,普,小標ベ,△,砂被る×,腰甘い,上が掛○,ニューイヤーズデイ,36,17%,31%,36%,47(美坂),46(南Ｗ),29,併用終い重点,https://stride.get-luck.jp/member/race_viewer_test.php?racedate=20260829&racekey=04263311&jo=0&idpm=iFT66JycF8pFY,PASS
2026-08-29,新潟,11,202604030311,04263311,17:30,11R 芝2000 ３歳未勝利 17:30,17,コスモアルペジオ,石橋脩,22.9,8,中速バランス,カスリ,59,Ｄ,Ｄ,8,38,43,-7,11,0%,49 (11),53 (7),56 (6),56 (5),54 (5),11,8,内,7,9,中,8,14,大外,57,[先][追],43,枠脚質×,21,10%,24%,33%,鹿戸雄一,ビッグレッドＦ鉾田,1,31,10 %,16 %,23 %,2,0%,0%,0 %,牡,3,短,短,細標,○,突っ張る,腰甘い,,ゴールドシップ,223,5%,14%,22%,53(南Ｗ),57(南Ｗ),43,併用終い重点,https://stride.get-luck.jp/member/race_viewer_test.php?racedate=20260829&racekey=04263311&jo=0&idpm=iFT66JycF8pFY,PASS
2026-08-29,新潟,11,202604030311,04263311,17:30,11R 芝2000 ３歳未勝利 17:30,18,ピースフルマインド,原優介,22.8,7,中速底力,カスリ,57,Ｄ,Ｄ,10,41,38,-9,12,17%,57 (4),59 (4),52 (7),46 (10),43 (14),8,6,内,5,7,最内,10,15,最内,55,[追][久][続],42,"枠脚質×,直近○",22,9%,14%,14%,伊坂重信,ノーザンＦ天栄,4,1,0 %,0 %,0 %,,,,,牝,3,短,普,小ベ,△,腰甘い,上が速×,,レイデオロ,95,8%,14%,21%,38(札ダ),40(札ダ),38,コース平均,https://stride.get-luck.jp/member/race_viewer_test.php?racedate=20260829&racekey=04263311&jo=0&idpm=iFT66JycF8pFY,PASS
2026-08-29,新潟,12,202604030312,04263312,18:05,12R ダ1200 ３歳未勝利 18:05,1,ペイシャラム,江田照男,22.8,7,中速スタミナ,ピッタリ,51,Ｄ,Ｄ,8,22,35,-23,11,100%,42 (14),44 (11),55 (5),57 (7),54 (6),11,15,内,9,15,内,8,19,最内,55,[続][瞬],45,枠脚質○,46,7%,7%,9%,菊川正達,ブルーステーブル,1,71,6 %,13 %,13 %,1,0%,0%,0 %,牝,3,短,短,小標ベ,○,腰甘い,,,オーヴァルエース,9,11%,11%,11%,47(南Ｗ),50(南Ｗ),35,コース平均,https://stride.get-luck.jp/member/race_viewer_test.php?racedate=20260829&racekey=04263312&jo=0&idpm=iFT66JycF8pFY,PASS
