日付,開催場,R,race_id,racekey,発走,番組表示,馬番,馬名,枠,印,性齢,斤量,騎手,最高指数,5走平均,距離指数,コース指数,3走,2走,前走,単勝オッズ,人気,source_url,source_status
2026-08-29,新潟,4,202604030304,04263304,11:15,4R 芝1400 ２歳新馬 11:15,15,コメットサン,,,,55,松山弘,,,,,,,,,,https://race.netkeiba.com/race/speed.html?race_id=202604030304,HOLD_SOURCE_NOT_PUBLISHED
2026-08-29,新潟,4,202604030304,04263304,11:15,4R 芝1400 ２歳新馬 11:15,16,ホワイトホール,,,,55,嶋田純,,,,,,,,,,https://race.netkeiba.com/race/speed.html?race_id=202604030304,HOLD_SOURCE_NOT_PUBLISHED
2026-08-29,新潟,4,202604030304,04263304,11:15,4R 芝1400 ２歳新馬 11:15,17,モチロンコクラ,,,,55,小林凌,,,,,,,,,,https://race.netkeiba.com/race/speed.html?race_id=202604030304,HOLD_SOURCE_NOT_PUBLISHED
2026-08-29,新潟,4,202604030304,04263304,11:15,4R 芝1400 ２歳新馬 11:15,18,ショウナンワンパク,,,,55,丸山元,,,,,,,,,,https://race.netkeiba.com/race/speed.html?race_id=202604030304,HOLD_SOURCE_NOT_PUBLISHED
2026-08-29,新潟,5,202604030305,04263305,11:45,5R 芝2200 ３歳未勝利 11:45,1,ローレルエース,1,--,牡3,57,江田照男,73,63*,65,65,65,73,65,213.3,12,https://race.netkeiba.com/race/speed.html?race_id=202604030305,PASS
2026-08-29,新潟,5,202604030305,04263305,11:45,5R 芝2200 ３歳未勝利 11:45,2,イクオクコウネン,1,--,セ3,57,Ｃ．ルメール,91,84*,91,未,78,84,91,4,2,https://race.netkeiba.com/race/speed.html?race_id=202604030305,PASS
2026-08-29,新潟,5,202604030305,04263305,11:45,5R 芝2200 ３歳未勝利 11:45,3,レイランディ,2,--,牡3,57,川須栄彦,80,76*,69,80,45,62,80,103.8,10,https://race.netkeiba.com/race/speed.html?race_id=202604030305,PASS
2026-08-29,新潟,5,202604030305,04263305,11:45,5R 芝2200 ３歳未勝利 11:45,4,ブリックアブラック,2,--,牡3,54,▲佐藤翔馬,81,73,63,未,80,76,66,156.4,11,https://race.netkeiba.com/race/speed.html?race_id=202604030305,PASS
2026-08-29,新潟,5,202604030305,04263305,11:45,5R 芝2200 ３歳未勝利 11:45,5,ピクシーゲイル,3,--,牡3,57,木幡育也,-,-,未,未,43,51,49,618.7,18,https://race.netkeiba.com/race/speed.html?race_id=202604030305,PASS
2026-08-29,新潟,5,202604030305,04263305,11:45,5R 芝2200 ３歳未勝利 11:45,6,サヴマ,3,--,牡3,57,菊沢一樹,80,74*,80,80,67,80,80,20.2,8,https://race.netkeiba.com/race/speed.html?race_id=202604030305,PASS
2026-08-29,新潟,5,202604030305,04263305,11:45,5R 芝2200 ３歳未勝利 11:45,7,ヤマメホープ,4,--,牡3,57,戸崎圭太,84,81,84,84,84,77,84,2.5,1,https://race.netkeiba.com/race/speed.html?race_id=202604030305,PASS
2026-08-29,新潟,5,202604030305,04263305,11:45,5R 芝2200 ３歳未勝利 11:45,8,ピグマリオン,4,--,牡3,57,嶋田純次,-,-,未,未,47,59,25,493.2,16,https://race.netkeiba.com/race/speed.html?race_id=202604030305,PASS
2026-08-29,新潟,5,202604030305,04263305,11:45,5R 芝2200 ３歳未勝利 11:45,9,ゾネブルーム,5,--,牡3,57,丸山元気,95,83*,95,81,75,82,81,5,3,https://race.netkeiba.com/race/speed.html?race_id=202604030305,PASS
2026-08-29,新潟,5,202604030305,04263305,11:45,5R 芝2200 ３歳未勝利 11:45,10,アルティマローネ,5,--,牝3,55,武藤雅,84,75*,未,76,81,84,76,17.6,7,https://race.netkeiba.com/race/speed.html?race_id=202604030305,PASS
2026-08-29,新潟,5,202604030305,04263305,11:45,5R 芝2200 ３歳未勝利 11:45,11,キコリータ,6,--,牝3,53,◇今村聖奈,82,68,78,78,82,78,74,15.3,6,https://race.netkeiba.com/race/speed.html?race_id=202604030305,PASS
2026-08-29,新潟,5,202604030305,04263305,11:45,5R 芝2200 ３歳未勝利 11:45,12,アージェンタイド,6,--,牡3,57,小崎綾也,67,50*,未,67,46,37,67,547.8,17,https://race.netkeiba.com/race/speed.html?race_id=202604030305,PASS
2026-08-29,新潟,5,202604030305,04263305,11:45,5R 芝2200 ３歳未勝利 11:45,13,ゴールドエンバー,7,--,牡3,57,大野拓弥,89,72*,75,78,89,80,78,31.1,9,https://race.netkeiba.com/race/speed.html?race_id=202604030305,PASS
2026-08-29,新潟,5,202604030305,04263305,11:45,5R 芝2200 ３歳未勝利 11:45,14,アティラン,7,--,牝3,55,原優介,-,-,未,未,35,60,60,242.9,13,https://race.netkeiba.com/race/speed.html?race_id=202604030305,PASS
2026-08-29,新潟,5,202604030305,04263305,11:45,5R 芝2200 ３歳未勝利 11:45,15,アンヴデット,7,--,牝3,53,△石神深道,89,73*,未,未,89,71,83,11.3,4,https://race.netkeiba.com/race/speed.html?race_id=202604030305,PASS
2026-08-29,新潟,5,202604030305,04263305,11:45,5R 芝2200 ３歳未勝利 11:45,16,ルミナスレイナ,8,--,牝3,53,△石田拓郎,71,70*,未,未,69,69,71,289.4,15,https://race.netkeiba.com/race/speed.html?race_id=202604030305,PASS
2026-08-29,新潟,5,202604030305,04263305,11:45,5R 芝2200 ３歳未勝利 11:45,17,ホウライブラック,8,--,牝3,55,野中悠太郎,-,-,未,未,-,-,47,252.6,14,https://race.netkeiba.com/race/speed.html?race_id=202604030305,PASS
2026-08-29,新潟,5,202604030305,04263305,11:45,5R 芝2200 ３歳未勝利 11:45,18,オレンジフィールド,8,--,牝3,55,松山弘平,88,81,未,76,81,88,79,14.6,5,https://race.netkeiba.com/race/speed.html?race_id=202604030305,PASS
2026-08-29,新潟,6,202604030306,04263306,14:35,6R ダ1800 新発田城特別 1勝クラス 14:35,1,ボールドタワー,1,--,牡3,55,Ｍ．ミシェル,75,68,74,74,72,62,74,31.2,11,https://race.netkeiba.com/race/speed.html?race_id=202604030306,PASS
2026-08-29,新潟,6,202604030306,04263306,14:35,6R ダ1800 新発田城特別 1勝クラス 14:35,2,コスモシェルベット,2,--,牡4,58,武藤雅,90,80,78,78,77,90,77,29.3,10,https://race.netkeiba.com/race/speed.html?race_id=202604030306,PASS
